product_id	product_name	product_class	category_hierarchy	product_features
12963	aneeqah the mughal aakar hand-painted dinner fork	Flatware & Silverware Single Pieces	Kitchen & Tabletop / Tableware & Drinkware / Flatware & Cutlery / Flatware Single Pieces	producttypes : dinner fork| : handle with care since the ceramic is fragile . recommended for handwash . avoid using abrasive scrubbers or brushes , as these can scratch the finish of stainless steel and the ceramic handle . after rinsing , dry thoroughly with a soft towel . do not expose cutlery to a flame.|primarymaterial : stainless steel|handlecolor : orange|countryoforigin : india|handlepattern : ornate|piecesincluded:6 dinner forks|productcare : wipe clean with damp cloth|dssecondaryproductstyle : ornate traditional|handlecolor : blue|holidayoccasion : no holiday|overallproductweight:0.8
33642	sunbeam aluminum propane/natural gas fire pit table	Outdoor Fireplaces	Outdoor / Outdoor Heating / Fire Pits / Natural Gas Fire Pits	finish : black|burningareamaterial : stainless steel|warrantylength:1 year|piecesincluded : natural gas orifice|covermaterial : vinyl|overallheight-toptobottom:24.41|fueltype : propane|ignitiontype : push-button|burningareawidth-sidetoside:38.19|overalldepth-fronttoback:20.87|productcare : wipe with clothe|location : outdoor use only|fueltype : natural gas|toolsneededforassembly : tools included|levelofassembly : full assembly needed|burntimeoffuelaccommodated:8|overallproductweight:65.9|burningareadepth-fronttoback:7.68|gastanksizeaccommodated:20 pounds|additionaltoolsrequirednotincluded : al
35913	bus car bike mobile	Mobiles	Baby & Kids / Baby & Kids Décor & Lighting / Baby Mobiles / Boy+ Baby Mobiles	piecesincluded:1 bus , 1 car , 1 bike , 1 traffic light|gender : boy / man+|partsneeded : ceiling hook|primarymaterial : plastic|toolsneededforinstallation : no tools are necessary|additionaltoolsrequirednotincluded : tool free assembly|theme : transportation|color : white|mounttype : ceiling mounted|overallheight-toptobottom:22|overallproductweight:0.25|toolsneededforassembly : no tools are necessary|countryoforigin : united states|primarymaterialdetails : acrylic|rotating : no|wind-up : no| : no|clampsuspensionarmsincluded : no|batteriesrequired : no|musical : no|lightsincluded : no|addition
275	hand-knotted wool/silk teal/plum area rug	Area Rugs	Rugs / Area Rugs / 8' x 10' Area Rugs	productresistances : both water and fade resistant|material : wool|overallproductweight:100|overallwidth-sidetoside:98|rugshape : rectangle|pileheight:0.25|pattern : no pattern and not solid color|knotdensity:15|technique : hand-knotted|productcare : professional cleaning|location : indoor use only|construction : handmade|primarycolor : teal/plum|material : silk|holidayoccasion : no holiday|overalllength-endtoend:120|rugsize:8 ' 2 '' x 10'|oeko-texcertified : no|backingmaterial : no|productwarranty : no|commercialwarranty : no|non-slipbacking : no|organic : no|reversible : no|generalcertificat
24903	5 ft. w x 3 ft. d solid wood horizontal garbage shed	Deck Boxes|Sheds	Storage & Organization / Garage & Outdoor Storage & Organization / Sheds / Garbage Sheds	interiorheight-toptobottom:47|doorwidth-sidetoside:58|primarymaterial : solid wood|estimatedtimetosetup:45|overalldepth-fronttoback:34|overallheight-toptobottom:48|approximatedepth-fronttoback:3|claddingstyle : tongue & groove|approximatewidth-sidetoside:5|color : brown|woodspecies : cedar|interiorheight-toptobottom:42|storagecapacity:99|interiordepth-fronttoback:30|overallproductweight:90|interiorwidth-sidetoside:58|estimatedtimetoassembleinternal:60|naturalvariationtype : natural wood grain color variation|additionaltoolsrequirednotincluded : adjustable wrench|dswoodtone : medium wood|doorhe
13601	hello sayang hello polly credenza	Sideboards & Buffets	Furniture / Kitchen & Dining Furniture / Sideboards & Buffets / Open Storage Equipped Sideboards & Buffets	interiorcabinetwidth-sidetoside:38|productcare : wipe clean with non-abrasive rag|feetheight-toptobottom:6|additionaltoolsrequired ( not included ) : screw driver|dswoodtone : medium wood|overallproductweight:67|style : modern & contemporary|countryoforigin : united states|overalldepth-fronttoback:20|mainmaterial : solid wood|producttype : credenza|cabinetinteriorheight-toptobottom:30|interiorcabinetdepth-fronttoback:20|shelfwidth-sidetoside:38|additionaltoolsrequired ( not included ) : scissors|naturalvariationtype : natural wood grain color variation|countryoforigin-additionaldetails : made
39592	benn 62 '' velvet recessed arm loveseat	Reception Sofas & Loveseats|Sofas	Furniture / Living Room Furniture / Sofas	overallwidth-sidetoside:62|armheight-floortoarm:26.5|upholsterymaterialdetails : cotton and polyester blend|weightcapacity:900|armtype : recessed arm|framematerialdetails : birch|levelofassembly : partial assembly|productcare : wipe clean with damp cloth|waterrepellant : this type of fabric is impenetrable to water to an extent.|removablecushionlocation : back|style : modern & contemporary|dsprimaryproductstyle : glam|legwoodtone : black wood|componentconnector : brackets/clips not needed|seatdepth-fronttoback:22.5|overalldepth-fronttoback:35|backheight-seattotopofback:17|seatfillmaterial : fo
31944	royal gourmet 4-burner flat top propane gas grill with griddle	Gas Grills	Outdoor / Outdoor Cooking & Tableware / Grills & Outdoor Cooking / Gas Grills	gratematerial : cast iron|btuoutput:48000|warrantylength:1 year|installationtype : flat top|qualityscore:0.725|numberofmainburners:4|totalnumberofburners:4|fueltype : liquid propane|ignitiontype : electronic ignition|cookingareawidth-sidetoside:17.6|overallproductweight:104|finish : stainless steel/black|cookingareadepth-fronttoback:16.6|overallwidth-sidetoside:21.81|overallheight-toptobottom:37.6|primarycookingsurfacearea:584|compatiblecoverpartnumber : cr6008|burgercount:21|productcare : the cook top and grill are cleaned with the use of a stiff brass brush . wash with warm water and mild di
15123	canyon ridge stacked faux stone polyurethane wall paneling	Wall Paneling	Home Improvement / Flooring, Walls & Ceiling / Walls & Ceilings / Wall Paneling	overallproductweight:4.7|compatiblecornerpiecepartnumber : pnuic03x48sr , pnuoc03x48sr|toolsneededtocut : circular saw|surfacetexture : smooth|installationtype : nail|squarefeetpercarton:8|compatibleendcappartnumber : pnuts02x48sr|producttype : panels|supplierintendedandapproveduse : non residential use|edgetype : tongue and groove|panelscreenlength-endtoend:45.75|paneldesign : mosaic panel|panelthickness:1.25|additionaltoolsneededforinstallation : circular saw or table saw , jigsaw or saber saw , level , measuring tape , chalk line , power or cordless drill , 4 ” drill bits or extension , fra
36439	deluxe bathroom tissue roll storage free standing toilet paper holder	Toilet Paper Holders	Home Improvement / Bathroom Remodel & Bathroom Fixtures / Toilets & Bidets / Toilet Paper Holders / Free Standing Toilet Paper Holders	overallwidth-sidetoside:7|overalldepth-fronttoback:7|finish : silver|mounttype : freestanding|overallproductweight:3|rollcapacity:4|toiletrollorientation : vertical|overallheight-toptobottom:17|style : modern & contemporary|warrantylength:1 year|hardwarefinish : silver|additionalpartsrequired : no|wallmountable : no|commercialwarranty : no|canadaproductrestriction : no|waterresistant : yes|tarnishresistant : yes|chipresistant : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|rustresistant : yes|productwarranty : yes|countryoforigin : china|countryoforigin-additionaldetails : chin
